"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-01,1474,monthly,60220,,,25.18,1474,95727,,,25.97,59880,,,24.71,48309,,,23.81,41573,,,27.14,,,,,,,,,,,,,,,,,,,70708,,,24.95,184,59541,,,25.24,1290,1995-01-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-02,1524,monthly,60092,,-0.21,25.12,1524,94615,,-1.16,25.66,59999,,0.2,24.75,48422,,0.23,23.87,41642,,0.17,27.19,,,,,,,,,,,,,,,,,,,70847,,0.2,25.0,209,59372,,-0.28,25.16,1315,1995-02-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-03,2086,monthly,59668,,-0.71,24.95,2086,93558,,-1.12,25.38,59614,,-0.64,24.6,48250,,-0.36,23.78,41405,,-0.57,27.03,,,,,,,,,,,,,,,,,,,70386,,-0.65,24.84,341,58947,,-0.72,24.98,1745,1995-03-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-04,1635,monthly,59690,,0.04,24.95,1635,93117,,-0.47,25.26,59670,,0.09,24.62,48380,,0.27,23.85,41643,,0.58,27.19,,,,,,,,,,,,,,,,,,,70315,,-0.1,24.81,263,58983,,0.06,25.0,1372,1995-04-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-05,1890,monthly,59316,,-0.63,24.8,1890,92636,,-0.52,25.13,59293,,-0.63,24.46,48034,,-0.72,23.68,41355,,-0.69,27.0,,,,,,,,,,,,,,,,,,,69756,,-0.79,24.62,295,58631,,-0.6,24.85,1595,1995-05-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-06,2163,monthly,59913,,1.01,25.05,2163,93817,,1.27,25.45,59796,,0.85,24.67,48374,,0.71,23.85,41884,,1.28,27.35,,,,,,,,,,,,,,,,,,,70483,,1.04,24.87,387,59217,,1.0,25.1,1776,1995-06-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-07,1926,monthly,59779,,-0.22,24.99,1926,94076,,0.28,25.52,59676,,-0.2,24.62,48157,,-0.45,23.74,41500,,-0.92,27.1,,,,,,,,,,,,,,,,,,,70174,,-0.44,24.76,278,59108,,-0.18,25.05,1648,1995-07-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-08,2023,monthly,59969,,0.32,25.07,2023,94917,,0.89,25.75,59774,,0.16,24.66,48239,,0.17,23.78,41377,,-0.3,27.02,,,,,,,,,,,,,,,,,,,70195,,0.03,24.77,271,59325,,0.37,25.14,1752,1995-08-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-09,1968,monthly,59501,,-0.78,24.88,1968,94330,,-0.62,25.59,59352,,-0.71,24.49,47887,,-0.73,23.61,40813,,-1.36,26.65,,,,,,,,,,,,,,,,,,,69293,,-1.29,24.45,299,58915,,-0.69,24.97,1669,1995-09-01
Essex,http://landregistry.data.gov.uk/id/region/essex,E10000012,1995-10,1842,monthly,59198,,-0.51,24.75,1842,93836,,-0.52,25.45,59129,,-0.37,24.4,47579,,-0.64,23.45,40593,,-0.54,26.5,,,,,,,,,,,,,,,,,,,69548,,0.37,24.54,221,58525,,-0.66,24.81,1621,1995-10-01
