"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-01,1088,monthly,73428,,,23.12,1088,149530,,,23.62,82753,,,22.46,61010,,,22.15,52207,,,25.35,,,,,,,,,,,,,,,,,,,80741,,,23.98,168,72890,,,23.04,920,1995-01-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-02,1081,monthly,73658,,0.31,23.19,1081,148344,,-0.79,23.44,83282,,0.64,22.6,61450,,0.72,22.31,52415,,0.4,25.45,,,,,,,,,,,,,,,,,,,81195,,0.56,24.12,189,73081,,0.26,23.1,892,1995-02-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-03,1565,monthly,73459,,-0.27,23.13,1565,147428,,-0.62,23.29,83015,,-0.32,22.53,61484,,0.06,22.32,52195,,-0.42,25.35,,,,,,,,,,,,,,,,,,,81018,,-0.22,24.06,283,72877,,-0.28,23.03,1282,1995-03-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-04,1362,monthly,73321,,-0.19,23.08,1362,146349,,-0.73,23.12,82938,,-0.09,22.51,61478,,-0.01,22.32,52178,,-0.03,25.34,,,,,,,,,,,,,,,,,,,80667,,-0.43,23.96,215,72777,,-0.14,23.0,1147,1995-04-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-05,1572,monthly,73298,,-0.03,23.08,1572,146580,,0.16,23.16,82950,,0.01,22.51,61397,,-0.13,22.29,52119,,-0.11,25.31,,,,,,,,,,,,,,,,,,,80593,,-0.09,23.94,264,72763,,-0.02,23.0,1308,1995-05-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-06,1702,monthly,73200,,-0.13,23.04,1702,146396,,-0.13,23.13,83005,,0.07,22.52,61126,,-0.44,22.19,52212,,0.18,25.36,,,,,,,,,,,,,,,,,,,80595,,0.0,23.94,361,72645,,-0.16,22.96,1341,1995-06-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-07,1636,monthly,73863,,0.91,23.25,1636,148269,,1.28,23.42,83842,,1.01,22.75,61702,,0.94,22.4,52360,,0.28,25.43,,,,,,,,,,,,,,,,,,,81391,,0.99,24.17,249,73291,,0.89,23.16,1387,1995-07-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-08,1697,monthly,73970,,0.14,23.29,1697,149160,,0.6,23.56,84003,,0.19,22.8,61793,,0.15,22.43,52129,,-0.44,25.32,,,,,,,,,,,,,,,,,,,81208,,-0.22,24.12,216,73452,,0.22,23.22,1481,1995-08-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-09,1558,monthly,74325,,0.48,23.4,1558,150679,,1.02,23.8,84368,,0.43,22.89,62135,,0.55,22.56,52016,,-0.22,25.26,,,,,,,,,,,,,,,,,,,80971,,-0.29,24.05,223,73921,,0.64,23.36,1335,1995-09-01
Hertfordshire,http://landregistry.data.gov.uk/id/region/hertfordshire,E10000015,1995-10,1345,monthly,73410,,-1.23,23.11,1345,149018,,-1.1,23.54,83413,,-1.13,22.64,61223,,-1.47,22.22,51466,,-1.06,24.99,,,,,,,,,,,,,,,,,,,80272,,-0.86,23.84,199,72956,,-1.31,23.06,1146,1995-10-01
