"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-01,1265,monthly,57654,,,25.19,1265,98979,,,25.85,60162,,,24.94,46734,,,24.15,39866,,,27.2,,,,,,,,,,,,,,,,,,,66703,,,25.2,90,57059,,,25.16,1175,1995-01-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-02,1297,monthly,56917,,-1.28,24.87,1297,96922,,-2.08,25.31,59721,,-0.73,24.75,46177,,-1.19,23.86,39338,,-1.32,26.84,,,,,,,,,,,,,,,,,,,66181,,-0.78,25.0,88,56302,,-1.33,24.83,1209,1995-02-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-03,1864,monthly,56992,,0.13,24.91,1864,96657,,-0.27,25.24,59833,,0.19,24.8,46316,,0.3,23.93,39504,,0.42,26.95,,,,,,,,,,,,,,,,,,,66297,,0.18,25.05,166,56374,,0.13,24.86,1698,1995-03-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-04,1588,monthly,57000,,0.01,24.91,1588,96281,,-0.39,25.14,59930,,0.16,24.84,46369,,0.11,23.96,39582,,0.2,27.01,,,,,,,,,,,,,,,,,,,66159,,-0.21,25.0,142,56394,,0.04,24.87,1446,1995-04-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-05,1837,monthly,57292,,0.51,25.04,1837,96694,,0.43,25.25,60229,,0.5,24.96,46624,,0.55,24.09,39837,,0.64,27.18,,,,,,,,,,,,,,,,,,,66201,,0.06,25.01,150,56708,,0.56,25.01,1687,1995-05-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-06,1971,monthly,57850,,0.97,25.28,1971,97646,,0.98,25.5,60828,,1.0,25.21,47042,,0.9,24.31,40279,,1.11,27.48,,,,,,,,,,,,,,,,,,,66693,,0.74,25.2,206,57273,,1.0,25.26,1765,1995-06-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-07,1868,monthly,57979,,0.22,25.34,1868,98186,,0.55,25.64,60937,,0.18,25.26,47084,,0.09,24.33,40270,,-0.02,27.48,,,,,,,,,,,,,,,,,,,66977,,0.42,25.31,146,57389,,0.2,25.31,1722,1995-07-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-08,2021,monthly,58457,,0.82,25.55,2021,99608,,1.45,26.01,61352,,0.68,25.43,47406,,0.68,24.5,40366,,0.24,27.54,,,,,,,,,,,,,,,,,,,67552,,0.86,25.52,151,57861,,0.82,25.52,1870,1995-08-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-09,1910,monthly,58288,,-0.29,25.47,1910,99848,,0.24,26.07,61172,,-0.29,25.36,47158,,-0.52,24.37,40024,,-0.85,27.31,,,,,,,,,,,,,,,,,,,67021,,-0.79,25.32,197,57722,,-0.24,25.45,1713,1995-09-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-10,1695,monthly,57689,,-1.03,25.21,1695,98971,,-0.88,25.85,60686,,-0.8,25.15,46489,,-1.42,24.02,39648,,-0.94,27.05,,,,,,,,,,,,,,,,,,,66616,,-0.6,25.17,157,57105,,-1.07,25.18,1538,1995-10-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-11,1759,monthly,57284,,-0.7,25.03,1759,98317,,-0.66,25.67,60315,,-0.61,25.0,46005,,-1.04,23.77,39613,,-0.09,27.03,,,,,,,,,,,,,,,,,,,66402,,-0.32,25.09,138,56683,,-0.74,25.0,1621,1995-11-01
Kent,http://landregistry.data.gov.uk/id/region/kent,E10000016,1995-12,1703,monthly,57236,,-0.08,25.01,1703,97817,,-0.51,25.54,60339,,0.04,25.01,46046,,0.09,23.8,39626,,0.03,27.04,,,,,,,,,,,,,,,,,,,66935,,0.8,25.29,210,56585,,-0.17,24.95,1493,1995-12-01
