"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-04,,quarterly,4418,,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-05,,quarterly,4418,,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-06,,quarterly,4418,,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-07,,quarterly,4545,,2.86,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-08,,quarterly,4545,,2.86,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-09,,quarterly,4545,,2.86,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-10,,quarterly,4444,,-2.22,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-11,,quarterly,4444,,-2.22,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-12,,quarterly,4444,,-2.22,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-01,,quarterly,4595,,3.41,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-02,,quarterly,4595,,3.41,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-03,,quarterly,4595,,3.41,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-04,,quarterly,4494,1.71,-2.2,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-05,,quarterly,4494,1.71,-2.2,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-06,,quarterly,4494,1.71,-2.2,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-07,,quarterly,4646,2.22,3.37,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-08,,quarterly,4646,2.22,3.37,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-09,,quarterly,4646,2.22,3.37,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-10,,quarterly,4620,3.98,-0.54,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-11,,quarterly,4620,3.98,-0.54,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-12,,quarterly,4620,3.98,-0.54,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-01,,quarterly,4949,7.69,7.1,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970-01-01
