"Date","End month weighted average interest rate, 2 year fixed mortgage (95% LTV), Building Societies                [a]             IUM2WBS","End month weighted average interest rate, 2 year fixed mortgage (95% LTV), Banks                [a]             IUM2WCB","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (95% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [c] [d]             IUM2WTL","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (90% LTV) variable rate mortgage to households (in percent) not seasonally adjusted              [e] [c] [d] [f]             IUMB479","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (90% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [g] [h] [c] [d]             IUMB482","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [g] [c] [d]             IUMBV34"
"30 Jun 20","n/a","n/a","2.74","2.68","2.27","1.41"
"31 May 20","n/a","n/a","3.17","2.95","1.94","1.42"
"30 Apr 20","n/a","n/a","3.08","3.09","1.88","1.38"
"31 Mar 20","n/a","n/a","3.02","2.88","1.94","1.4"
"29 Feb 20","n/a","n/a","3.02","2.81","1.97","1.4"
"31 Jan 20","n/a","n/a","3.02","2.86","2.05","1.41"
"31 Dec 19","n/a","n/a","3","2.91","2.07","1.42"
"30 Nov 19","n/a","n/a","2.99","2.91","2.08","1.41"
"31 Oct 19","n/a","n/a","2.99","2.9","2.07","1.47"
"30 Sep 19","n/a","n/a","2.99","3.03","2.09","1.55"
"31 Aug 19","n/a","n/a","2.96","3.03","2.1","1.59"
"31 Jul 19","n/a","n/a","2.96","3.03","2.15","1.61"
"30 Jun 19","n/a","n/a","2.95","2.21","2.18","1.64"
"31 May 19","n/a","n/a","2.93","2.21","2.19","1.65"
"30 Apr 19","n/a","n/a","2.92","2.21","2.15","1.66"
"31 Mar 19","n/a","n/a","2.97","2.31","2.17","1.7"
"28 Feb 19","n/a","n/a","2.99","2.31","2.17","1.7"
"31 Jan 19","n/a","n/a","3.04","2.13","2.23","1.72"
"31 Dec 18","n/a","n/a","3.18","2.13","2.24","1.73"
"30 Nov 18","n/a","n/a","3.23","2.13","2.28","1.75"
"31 Oct 18","n/a","n/a","3.33","2.13","2.27","1.8"
"30 Sep 18","n/a","n/a","3.38","2.11","2.12","1.71"
"31 Aug 18","n/a","n/a","3.61","2.1","2.28","1.75"
"31 Jul 18","n/a","n/a","3.78","1.88","2.3","1.75"
"30 Jun 18","n/a","n/a","3.95","1.83","2.37","1.74"
"31 May 18","n/a","n/a","3.95","1.87","2.34","1.74"
"30 Apr 18","n/a","n/a","3.9","1.85","2.36","1.72"
"31 Mar 18","n/a","n/a","3.77","1.85","2.2","1.53"
"28 Feb 18","n/a","n/a","3.82","1.85","2.21","1.49"
"31 Jan 18","n/a","n/a","3.82","1.91","2.17","1.54"
"31 Dec 17","n/a","n/a","3.89","..","2.21","1.57"
"30 Nov 17","n/a","n/a","3.97","..","2.36","1.61"
"31 Oct 17","n/a","n/a","4.02","..","2.36","1.55"
"30 Sep 17","n/a","n/a","4.01","..","2.31","1.4"
"31 Aug 17","n/a","n/a","4.02","..","2.33","1.43"
"31 Jul 17","n/a","n/a","4.07","..","2.37","1.41"
"30 Jun 17","n/a","n/a","4.2","..","2.5","1.48"
"31 May 17","n/a","n/a","4.19","..","2.5","1.49"
"30 Apr 17","n/a","n/a","4.04","2.45","2.43","1.35"
"31 Mar 17","n/a","n/a","3.99","2.41","2.48","1.37"
"28 Feb 17","n/a","n/a","3.8","2.43","2.45","1.42"
"31 Jan 17","n/a","n/a","3.62","2.46","2.5","1.45"
"31 Dec 16","n/a","n/a","3.62","2.4","2.53","1.45"
"30 Nov 16","n/a","n/a","3.66","2.41","2.49","1.43"
"31 Oct 16","n/a","n/a","3.73","2.4","2.42","1.52"
"30 Sep 16","n/a","n/a","3.84","2.4","2.42","1.59"
"31 Aug 16","n/a","n/a","3.88","2.34","2.55","1.69"
"31 Jul 16","n/a","n/a","3.85","2.62","2.57","1.72"
"30 Jun 16","n/a","n/a","3.88","2.55","2.64","1.75"
"31 May 16","n/a","n/a","3.93","2.66","2.75","1.91"
"30 Apr 16","n/a","n/a","3.92","2.69","2.71","1.84"
"31 Mar 16","n/a","n/a","3.92","2.68","2.87","1.9"
"29 Feb 16","n/a","n/a","3.99","2.68","2.88","1.95"
"31 Jan 16","n/a","n/a","3.95","2.67","2.85","1.93"
"31 Dec 15","n/a","n/a","4.06","2.65","2.87","1.9"
"30 Nov 15","n/a","n/a","4.13","2.5","2.88","1.92"
"31 Oct 15","n/a","n/a","4.22","2.53","2.89","1.87"
"30 Sep 15","n/a","n/a","4.22","2.85","3.03","1.91"
